BBG000BSZ738|SelectiveInsuranceGroup
BBG000PXGT62|TempurSealyInternationalInc
BBG0059KNH10|ChangeHealthcareInc
BBG000BMDBZ1|JBHunt
BBG000BH5DV1|Intuit
BBG000BD53V2|WoodwardInc
BBG000DPKKK0|AmericanFinancialGroup
BBG000C1BCK2|NeogenCorp
BBG001QD41M9|Aptiv
BBG000LNL298|NuVasiveInc
BBG006473QX9|AppleHospitalityREITInc
BBG000BPBTL2|ChoiceHotelsInternationalIn
BBG00L0YTFN8|FocusFinancialPartnersInc
BBG000CXYSZ6|F5Networks
BBG000BB88K4|Group1AutomotiveInc
BBG000BP3PW7|MesaLaboratoriesInc
BBG000BLH3P8|HarscoCorp
BBG000BHPL78|Equifax
BBG000HCXFS4|JohnsonOutdoorsInc
BBG000BC33T9|AlexandriaRealEstateEquities
BBG000BKQDQ7|GibraltarIndustriesInc
BBG001V9NSB4|EnantaPharmaceuticalsInc
BBG005ZVK9P2|Q2HoldingsInc
BBG000BCBYT2|VerintSystemsInc
BBG000QDJT53|GreenDotCorp
BBG000BNDN65|Lowe’s
BBG000CBMH27|MGICInvestmentCorp
BBG001C7TST4|Splunk
BBG000JG0547|AutomaticDataProcessing
BBG001J1QN87|InterceptPharmaceuticalsInc
BBG000BBTJZ1|ErieIndemnItyCo
BBG000C1HN22|IDEXCorp
BBG000BV95H9|TimkenCoThe
BBG000CJ2181|RelianceSteel&AluminumCo
BBG00209SZJ7|InspireMedicalSystemsInc
BBG006D97VY9|GuardantHealthInc
BBG000N9MNX3|TeslaMotors
BBG00HFWVGN0|MicroFocus
BBG000GZQ728|ExxonMobilCorporation
BBG000DV7MX4|ONSemiconductorCorp
BBG000GQJPZ0|MicroStrategyInc
BBG0063GCHH8|ShakeShackInc
BBG000FTLBV7|IovanceBiotherapeuticsInc
BBG000CSZKR2|АДРМТС
BBG000BRRG02|PVH
BBG000BFS7D3|TheCloroxCompany
BBG000BW6P59|UnitedStatesCellularCorp
BBG000DGLTG5|DolbyLaboratoriesInc
BBG000BFC848|Knight-SwiftTransportation
BBG000BBL0Y1|AlaskaAirGroup
BBG000BX24N8|WestPharmaceuticalServicesI
BBG000BWNV93|WD-40Co
BBG000BT41Q8|Schlumberger
BBG000BS5CM9|BostonProperties
BBG000D7JKW9|CoStarGroupInc
BBG001NFKJ68|NewRelicInc
BBG000BVMPN3|TRowePriceGroup
BBG0043BYPB8|PagerdutyInc
